category,keyword,volume,deleted_count,median_lifespan_days,used_median_eur,new_median_eur,cheap_new_competitors,price_gap_eur,arbitrage_score
nabytok,suprava,12,0,,1399.0,,0,,72.99
nabytok,sedacia,12,0,,1399.0,,0,,72.99
nabytok,sedacia suprava,12,0,,1399.0,,0,,72.99
sport,ebike,5,0,,2300,,0,,50.0
hudba,piano,5,0,,2190,,0,,47.61
stroje,vozik,5,0,,1850,,0,,40.22
stroje,elektricky,5,0,,1850,,0,,40.22
dom,malotraktor,5,0,,1500,,0,,32.61
nabytok,gauc,5,0,,1399,,0,,30.41
nabytok,sedenie,7,0,,980,,0,,29.83
deti,cybex,20,0,,299.0,,0,,26.0
nabytok,zahradne,6,0,,985.0,,0,,25.7
nabytok,zahradne sedenie,5,0,,980,,0,,21.3
nabytok,teak zahradne,5,0,,980,,0,,21.3
nabytok,teak,5,0,,980,,0,,21.3
nabytok,postel,10,0,,350,600,0,250,15.22
sport,bicykel,14,0,,489.5,420.0,1,-69.5,14.9
hudba,yamaha,8,0,,422.0,,0,,14.68
deti,kocik,23,0,,250.0,250,1,0.0,12.5
nabytok,stol,14,0,,190,450,0,260,11.57
deti,2v1,5,0,,259,,0,,5.63
nabytok,kreslo,5,0,,250,,0,,5.43
elektro,apple,5,0,,250,,0,,5.43
nabytok,stolicky,5,0,,190,,0,,4.13
deti,postielka,7,0,,100,,0,,3.04
sport,horsky,6,0,,150,140,1,-10,1.96
sport,horsky bicykel,5,0,,145.0,140,1,-5.0,1.58
