category,subcat,keyword,new_count,deleted_count,median_lifespan_days,demand_score
sport,Horské bicykle,bicykel,371,7,0.27,78.67
nabytok,Postele,postel,318,5,0.15,74.32
deti,Kočíky,kocik,297,3,0.2,66.95
nabytok,Stoly,stol,275,7,0.15,64.27
stroje,Poľnohospodárska technika,zetor,233,1,0.08,58.26
deti,Lego,lego,277,1,0.31,56.84
deti,Bicykle,bicykel,232,3,0.2,52.31
sport,Cestné bicykle,bicykel,220,6,0.14,52.07
nabytok,Stoly,stolik,179,5,0.28,37.79
sport,Horské bicykle,horsky,183,2,0.31,37.67
deti,Bicykle,detsky,151,2,0.14,35.75
sport,Horské bicykle,horsky bicykel,160,2,0.31,32.94
deti,Nábytok pre deti,detska,163,1,0.38,31.84
elektro,Práčky,pracka,125,6,0.08,31.07
deti,Bicykle,detsky bicykel,129,2,0.14,30.54
elektro,Televízory,samsung,122,3,0.12,29.35
dom,Kosačky,kosacka,127,2,0.21,28.36
elektro,Vysávače,vysavac,106,1,0.08,26.38
dom,"Malotraktory, Kultivátory",vari,97,3,0.08,24.18
elektro,Kávovary,kavovar,110,3,0.24,23.87
nabytok,Stoly,konferencny,106,3,0.28,22.38
deti,Nábytok pre deti,postielka,114,1,0.38,22.27
nabytok,Stoličky,stolicka,101,1,0.26,21.57
elektro,Chladničky,chladnicka,95,1,0.2,21.39
dom,"Dvere, brány",dvere,135,1,0.71,21.24
deti,Kočíky,cybex,92,1,0.2,20.74
nabytok,Sedacie súpravy,sedacia,99,3,0.35,19.75
nabytok,Sedacie súpravy,suprava,97,3,0.35,19.35
nabytok,Sedacie súpravy,sedacia suprava,96,3,0.35,19.15
elektro,Televízory,televizor,84,5,0.2,18.92
sport,Horské bicykle,detsky,87,2,0.24,18.92
elektro,Slúchadlá,sluchadla,74,1,0.08,18.4
nabytok,Stoly,konferencny stolik,89,2,0.33,18.01
dom,"Malotraktory, Kultivátory",malotraktor,72,1,0.08,17.95
nabytok,Matrace,matrac,72,1,0.15,16.83
elektro,"Svietidlá, Lampy",led,82,3,0.38,15.97
deti,Autosedačky,cybex,71,1,0.21,15.83
sport,Horské bicykle,ctm,80,1,0.38,15.6
dom,"Malotraktory, Kultivátory",agzat,61,1,0.08,15.21
sport,Horské bicykle,detsky bicykel,68,2,0.24,14.79
dom,"Kotle, Kachle, Bojlery",kotol,65,1,0.19,14.71
dom,Píly,pila,67,2,0.24,14.56
stroje,Náhradné diely,zetor,72,1,0.35,14.37
nabytok,Stoly,jedalensky,65,2,0.27,13.8
nabytok,Stoly,jedalensky stol,61,2,0.27,12.95
dom,Náradie,aku,52,1,0.09,12.88
nabytok,Obývacie steny,obyvacia,55,1,0.15,12.85
nabytok,Obývacie steny,stena,57,2,0.25,12.27
elektro,Televízory,smart,51,1,0.12,12.27
elektro,Umývačky riadu,umyvacka,51,3,0.12,12.26
elektro,Umývačky riadu,riadu,51,3,0.12,12.26
nabytok,Sedacie súpravy,kozena,89,10,0.97,12.15
deti,Nábytok pre deti,detska postielka,62,1,0.38,12.11
stroje,Drevoobrábacie stroje,pila,51,1,0.15,11.92
nabytok,Stoly,pisaci,55,2,0.29,11.53
stroje,Poľnohospodárska technika,traktor,74,1,0.77,11.28
nabytok,Skrine,komoda,58,3,0.39,11.26
nabytok,Skrine,skrinka,48,1,0.15,11.22
elektro,Autorádiá,autoradio,53,1,0.27,11.21
nabytok,Obývacie steny,obyvacia stena,46,1,0.15,10.75
elektro,Vysávače,roboticky,42,1,0.08,10.45
dom,Náradie,makita,42,1,0.09,10.4
elektro,Umývačky riadu,umyvacka riadu,43,3,0.12,10.34
nabytok,Kúpeľne,umyvadlo,50,1,0.35,9.97
elektro,Vysávače,roboticky vysavac,40,1,0.08,9.95
dom,Okná,plastove,75,1,1.05,9.86
elektro,Projektory,projektor,43,1,0.2,9.68
nabytok,Stoly,pisaci stol,46,2,0.29,9.65
nabytok,Kuchyne,linka,70,6,0.98,9.55
nabytok,Kreslá a gauče,kresla,44,1,0.26,9.39
nabytok,Sedacie súpravy,rohova,68,2,0.97,9.28
elektro,Práčky,pracku,36,1,0.08,8.95
